City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,minas de marcona,-15.2119,-75.1103,282.78,90,56,4.35,PE,1721627063
201,altamira,-3.2033,-52.2064,298.67,56,35,1.14,BR,1721627041
202,port elizabeth,-33.918,25.5701,281.31,90,0,3.6,ZA,1721626811
203,wailua homesteads,22.0669,-159.378,298.57,80,75,5.66,US,1721627067
204,happy valley-goose bay,53.3168,-60.3315,284.32,71,75,3.09,CA,1721627068
205,constantia,44.1833,28.65,296.53,62,0,3.42,RO,1721627069
206,ludus,46.4833,24.1,294.27,65,9,1.45,RO,1721627070
207,nemuro,43.3236,145.575,293.48,87,23,6.84,JP,1721627071
208,patacamaya,-17.2333,-67.9167,275.18,88,6,3.34,BO,1721627072
209,natal,-5.795,-35.2094,295.27,83,20,3.6,BR,1721627042
210,rosarito,32.3333,-117.0333,293.16,83,39,2.05,MX,1721627076
211,lata,40.1629,-8.3327,287.64,44,0,1.82,PT,1721627077
212,nadym,65.5333,72.5167,290.42,43,7,4.06,RU,1721627079
213,yaroslavl,57.6299,39.8737,293.04,77,0,5.0,RU,1721627012
214,boskovice,49.4875,16.66,296.38,56,0,1.16,CZ,1721627081
215,jasper,37.2001,-94.3502,292.52,89,20,0.0,US,1721627082
216,wenling,28.3669,121.36,303.78,74,19,5.2,CN,1721627085
217,thief river falls,48.1191,-96.1812,292.11,77,0,1.54,US,1721627086
218,hemsby,52.6971,1.6918,289.28,82,6,3.97,GB,1721627087
219,smolensk,55.0,33.0,292.57,76,14,1.53,RU,1721627088
220,valdivia,-39.8142,-73.2459,273.2,98,4,1.14,CL,1721627089
221,qaqortoq,60.7167,-46.0333,278.3,94,100,0.26,GL,1721627091
222,morondava,-20.2833,44.2833,294.88,53,0,0.77,MG,1721627092
223,albertina,-22.2008,-46.6158,286.13,54,0,2.02,BR,1721627093
224,kruisfontein,-34.0033,24.7314,280.52,80,0,2.75,ZA,1721627094
225,sorsk,54.0033,90.2467,290.23,86,100,2.46,RU,1721627097
226,armacao de buzios,-22.7469,-41.8817,289.18,87,0,3.75,BR,1721627098
227,lompoc,34.6391,-120.4579,287.23,87,100,3.6,US,1721627099
228,kirensk,57.7853,108.1119,301.12,57,90,0.74,RU,1721627101
229,olyokminsk,60.3736,120.4264,305.97,28,5,1.59,RU,1721627102
230,mugia,43.1041,-9.2179,288.66,82,0,8.28,ES,1721627103
231,newman,37.3138,-121.0208,302.28,48,1,2.35,US,1721627104
232,yarmouth,41.7057,-70.2286,294.83,93,0,1.34,US,1721627106
233,chabahar,25.2919,60.643,303.8,73,72,5.32,IR,1721627107
234,pandan,14.0453,124.1694,299.82,90,100,5.64,PH,1721627108
235,rikaze,29.25,88.8833,294.83,33,100,0.34,CN,1721627109
236,mossel bay,-34.1831,22.146,278.11,76,3,1.45,ZA,1721627110
237,hasaki,35.7333,140.8333,310.53,77,29,3.38,JP,1721627111
238,tarasivtsi,48.2053,26.3699,291.64,90,78,2.4,RO,1721627112
239,la passe,45.5549,-0.8967,289.83,68,76,2.21,FR,1721627113
240,richards bay,-28.783,32.0377,290.08,83,19,2.3,ZA,1721627114
241,margate,51.3813,1.3862,289.19,77,8,5.67,GB,1721627116
242,geraldton,-28.7667,114.6,294.38,49,78,5.14,AU,1721627117
243,maragogi,-9.0122,-35.2225,296.42,81,95,5.29,BR,1721627118
244,bagepalli,13.7847,77.7931,298.68,65,100,9.79,IN,1721627119
245,ula,22.7225,88.5556,305.14,79,75,4.12,IN,1721627120
